"b","c","year","f","f_ratio","f_ratio_err","id","r_0","error","hcr","b_0"
5816.86974207647,1198.42098188892,73,0.206025067609836,0.618075202829509,0.611612361610075,36,0.4,0.3,0.75,6000
5813.22899818448,1197.67089738242,74,0.206025067609836,0.618075202829509,0.611612361610075,36,0.4,0.3,0.75,6000
5810.8967786027,1257.04992176967,75,0.216326320990328,0.618075202829509,0.735142972726335,36,0.4,0.3,0.75,6000
5749.54274893645,1243.77743025404,76,0.216326320990328,0.648978962970984,0.735142972726335,36,0.4,0.3,0.75,6000
5710.71332487274,1235.37760380016,77,0.216326320990328,0.648978962970984,0.735142972726335,36,0.4,0.3,0.75,6000
5685.99394261925,1230.03015078011,78,0.216326320990328,0.648978962970984,0.735142972726335,36,0.4,0.3,0.75,6000
5670.19823842648,1226.61312420464,79,0.216326320990328,0.648978962970984,0.735142972726335,36,0.4,0.3,0.75,6000
5660.08065337362,1285.64564546549,80,0.227142637039844,0.648978962970984,0.658303242370566,36,0.4,0.3,0.75,6000
5592.36893520217,1270.26542724153,81,0.227142637039844,0.681427911119533,0.658303242370566,36,0.4,0.3,0.75,6000
5549.46385647505,1260.51985451705,82,0.227142637039844,0.681427911119533,0.658303242370566,36,0.4,0.3,0.75,6000
5522.09622368392,1254.30349823533,83,0.227142637039844,0.681427911119533,0.658303242370566,36,0.4,0.3,0.75,6000
5504.56550078895,1250.32152360775,84,0.227142637039844,0.681427911119533,0.658303242370566,36,0.4,0.3,0.75,6000
5493.30558558744,1310.15211261484,85,0.238499768891837,0.681427911119533,0.659690867582574,36,0.4,0.3,0.75,6000
5423.6726502489,1293.54467362934,86,0.238499768891837,0.71549930667551,0.659690867582574,36,0.4,0.3,0.75,6000
5379.44203947353,1282.99568318147,87,0.238499768891837,0.71549930667551,0.659690867582574,36,0.4,0.3,0.75,6000
5351.14995510003,1276.24802759692,88,0.238499768891837,0.71549930667551,0.659690867582574,36,0.4,0.3,0.75,6000
5332.97213827451,1271.91262248507,89,0.238499768891837,0.71549930667551,0.659690867582574,36,0.4,0.3,0.75,6000
5321.25937731388,1332.57508828802,90,0.250424757336429,0.71549930667551,0.529859496533817,36,0.4,0.3,0.75,6000
5250.24248791355,1314.79070099316,91,0.250424757336429,0.751274272009286,0.529859496533817,36,0.4,0.3,0.75,6000
5205.01159441152,1303.4637654638,92,0.250424757336429,0.751274272009286,0.529859496533817,36,0.4,0.3,0.75,6000
5175.99286659521,1296.19675759219,93,0.250424757336429,0.751274272009286,0.529859496533817,36,0.4,0.3,0.75,6000
5157.28824351841,1291.51265689711,94,0.250424757336429,0.751274272009286,0.529859496533817,36,0.4,0.3,0.75,6000
5145.1955274008,1352.90855846771,95,0.26294599520325,0.751274272009286,0.671055661270463,36,0.4,0.3,0.75,6000
5072.93807853027,1333.9087516636,96,0.26294599520325,0.78883798560975,0.671055661270463,36,0.4,0.3,0.75,6000
5026.78732299898,1321.77359532105,97,0.26294599520325,0.78883798560975,0.671055661270463,36,0.4,0.3,0.75,6000
4997.08547324995,1313.96361287941,98,0.26294599520325,0.78883798560975,0.671055661270463,36,0.4,0.3,0.75,6000
4977.87620187021,1308.91261189934,99,0.26294599520325,0.78883798560975,0.671055661270463,36,0.4,0.3,0.75,6000
4965.41360750003,1370.91740375085,100,0.276093294963413,0.78883798560975,0.858805571920499,36,0.4,0.3,0.75,6000
1500,0,1,0,1.89446742648821,2.46309972632549,37,0.5,0.3,0.75,1500
2684.04214155513,0,2,0,0,2.46309972632549,37,0.5,0.3,0.75,1500
4236.07781126186,0,3,0,0,2.46309972632549,37,0.5,0.3,0.75,1500
5907.67157590364,0,4,0,0,2.46309972632549,37,0.5,0.3,0.75,1500
7383.34190952622,0,5,0,0,0,37,0.5,0.3,0.75,1500
8469.94611110813,0,6,0,0,0,37,0.5,0.3,0.75,1500
9161.65950606291,0,7,0,0,0,37,0.5,0.3,0.75,1500
9559.25528703559,0,8,0,0,0,37,0.5,0.3,0.75,1500
9773.73007968082,0,9,0,0,0,37,0.5,0.3,0.75,1500
9885.3197342895,0,10,0,0,0,37,0.5,0.3,0.75,1500
9942.26410739765,0,11,0,0,0,37,0.5,0.3,0.75,1500
9971.03189633167,0,12,0,0,0,37,0.5,0.3,0.75,1500
9985.49075416265,0,13,0,0,0,37,0.5,0.3,0.75,1500
9992.73905908972,0,14,0,0,0,37,0.5,0.3,0.75,1500
9996.36794760063,0,15,0,0,0,37,0.5,0.3,0.75,1500
9998.18357800784,0,16,0,0,0,37,0.5,0.3,0.75,1500
9999.09169001746,0,17,0,0,0,37,0.5,0.3,0.75,1500
9999.54582025732,0,18,0,0,0,37,0.5,0.3,0.75,1500
9999.77290394021,0,19,0,0,0,37,0.5,0.3,0.75,1500
9999.88645042292,0,20,0,0,0,37,0.5,0.3,0.75,1500
9999.94322482465,0,21,0,0,0,37,0.5,0.3,0.75,1500
9999.97161231562,0,22,0,0,0,37,0.5,0.3,0.75,1500
9999.98580613363,0,23,0,0,0,37,0.5,0.3,0.75,1500
9999.99290306077,0,24,0,0,0,37,0.5,0.3,0.75,1500
9999.99645152888,0,25,0,0,0,37,0.5,0.3,0.75,1500
9999.99822576406,0,26,0,0,0,37,0.5,0.3,0.75,1500
9999.99911288193,0,27,0,0,0,37,0.5,0.3,0.75,1500
9999.99955644094,0,28,0,0,0,37,0.5,0.3,0.75,1500
9999.99977822046,0,29,0,0,0,37,0.5,0.3,0.75,1500
9999.99988911023,0,30,0,0,0,37,0.5,0.3,0.75,1500
9999.99994455511,0,31,0,0,0,37,0.5,0.3,0.75,1500
9999.99997227756,0,32,0,0,0,37,0.5,0.3,0.75,1500
9999.99998613878,0,33,0,0,0,37,0.5,0.3,0.75,1500
9999.99999306939,0,34,0,0,0,37,0.5,0.3,0.75,1500
9999.9999965347,0,35,0,0,0,37,0.5,0.3,0.75,1500
9999.99999826735,0,36,0,0,0,37,0.5,0.3,0.75,1500
9999.99999913368,0,37,0,0,0,37,0.5,0.3,0.75,1500
9999.99999956684,0,38,0,0,0,37,0.5,0.3,0.75,1500
9999.99999978342,0,39,0,0,0,37,0.5,0.3,0.75,1500
9999.99999989171,0,40,0,0,0,37,0.5,0.3,0.75,1500
9999.99999994586,0,41,0,0,0,37,0.5,0.3,0.75,1500
9999.99999997293,0,42,0,0,0,37,0.5,0.3,0.75,1500
9999.99999998646,0,43,0,0,0,37,0.5,0.3,0.75,1500
9999.99999999323,0,44,0,0,0,37,0.5,0.3,0.75,1500
9999.99999999661,0,45,0,0,0,37,0.5,0.3,0.75,1500
9999.99999999831,0,46,0,0,0,37,0.5,0.3,0.75,1500
